Date,Article_title,Stock_symbol,Url,Publisher,Author,Article,Lsa_summary,Luhn_summary,Textrank_summary,Lexrank_summary,Year,sentiment_score
2021-09-22 00:00:00+00:00,Intel chief plans to attend White House meeting on chip shortage,INTC,https://www.nasdaq.com/articles/intel-chief-plans-to-attend-white-house-meeting-on-chip-shortage-2021-09-22-0,,,"Adds background, automakers
Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger plans to attend a virtual White House meeting on the global chip shortage, along with representatives from companies including Samsung Electronics 005930.KS, GM GM.N and FordF.N, people familiar with the matter said.
The meeting will be hosted by U.S. Secretary of Commerce Gina M. Raimondo and National Economic Council Director Brian Deese and will also delve into topics such as the impact of the coronavirus Delta variant on chip supplies and how to better coordinate between chip producers and consumers.
(Reporting by Stephen Nellis in San Francisco and Alexandra Alper and David Shepardson in Washington, D.C. Editing by Chris Reese)
((Alexandra.Alper@thomsonreuters.com; +1(202)354-5865; Reuters Messaging: alexandra.alper.thomsonreuters.com@reuters.net - https://twitter.com/alexalper?lang=en))
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Adds background, automakers Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger plans to attend a virtual White House meeting on the global chip shortage, along with representatives from companies including Samsung Electronics 005930.KS, GM GM.N and FordF.N, people familiar with the matter said. The meeting will be hosted by U.S. Secretary of Commerce Gina M. Raimondo and National Economic Council Director Brian Deese and will also delve into topics such as the impact of the coronavirus Delta variant on chip supplies and how to better coordinate between chip producers and consumers. (Reporting by Stephen Nellis in San Francisco and Alexandra Alper and David Shepardson in Washington, D.C.","Adds background, automakers Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger plans to attend a virtual White House meeting on the global chip shortage, along with representatives from companies including Samsung Electronics 005930.KS, GM GM.N and FordF.N, people familiar with the matter said. The meeting will be hosted by U.S. Secretary of Commerce Gina M. Raimondo and National Economic Council Director Brian Deese and will also delve into topics such as the impact of the coronavirus Delta variant on chip supplies and how to better coordinate between chip producers and consumers. Editing by Chris Reese) ((Alexandra.Alper@thomsonreuters.com; +1(202)354-5865; Reuters Messaging: alexandra.alper.thomsonreuters.com@reuters.net - https://twitter.com/alexalper?lang=en)) The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Adds background, automakers Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger plans to attend a virtual White House meeting on the global chip shortage, along with representatives from companies including Samsung Electronics 005930.KS, GM GM.N and FordF.N, people familiar with the matter said. The meeting will be hosted by U.S. Secretary of Commerce Gina M. Raimondo and National Economic Council Director Brian Deese and will also delve into topics such as the impact of the coronavirus Delta variant on chip supplies and how to better coordinate between chip producers and consumers. (Reporting by Stephen Nellis in San Francisco and Alexandra Alper and David Shepardson in Washington, D.C.","Adds background, automakers Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger plans to attend a virtual White House meeting on the global chip shortage, along with representatives from companies including Samsung Electronics 005930.KS, GM GM.N and FordF.N, people familiar with the matter said. The meeting will be hosted by U.S. Secretary of Commerce Gina M. Raimondo and National Economic Council Director Brian Deese and will also delve into topics such as the impact of the coronavirus Delta variant on chip supplies and how to better coordinate between chip producers and consumers. (Reporting by Stephen Nellis in San Francisco and Alexandra Alper and David Shepardson in Washington, D.C.",2021,4
2021-09-22 00:00:00+00:00,Intel chief plans to attend White House meeting on chip shortage,INTC,https://www.nasdaq.com/articles/intel-chief-plans-to-attend-white-house-meeting-on-chip-shortage-2021-09-22,,,"Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger on Thursday plans to attend a virtual White House meeting on the global chip shortage, a person familiar with the matter told Reuters.
Commerce Secretary Gina M. Raimondo set the meeting earlier this month to discuss the impact the Delta variant has had on global chip supplies and better coordinate between producers of chips and buyers of chips such as automakers to avoid future shortages.
(Reporting by Stephen Nellis in San Francisco Editing by Chris Reese)
((Stephen.Nellis@thomsonreuters.com; (415) 344-4934;))
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger on Thursday plans to attend a virtual White House meeting on the global chip shortage, a person familiar with the matter told Reuters. Commerce Secretary Gina M. Raimondo set the meeting earlier this month to discuss the impact the Delta variant has had on global chip supplies and better coordinate between producers of chips and buyers of chips such as automakers to avoid future shortages. (Reporting by Stephen Nellis in San Francisco Editing by Chris Reese) ((Stephen.Nellis@thomsonreuters.com; (415) 344-4934;)) The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger on Thursday plans to attend a virtual White House meeting on the global chip shortage, a person familiar with the matter told Reuters. Commerce Secretary Gina M. Raimondo set the meeting earlier this month to discuss the impact the Delta variant has had on global chip supplies and better coordinate between producers of chips and buyers of chips such as automakers to avoid future shortages. (Reporting by Stephen Nellis in San Francisco Editing by Chris Reese) ((Stephen.Nellis@thomsonreuters.com; (415) 344-4934;)) The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger on Thursday plans to attend a virtual White House meeting on the global chip shortage, a person familiar with the matter told Reuters. Commerce Secretary Gina M. Raimondo set the meeting earlier this month to discuss the impact the Delta variant has had on global chip supplies and better coordinate between producers of chips and buyers of chips such as automakers to avoid future shortages. (Reporting by Stephen Nellis in San Francisco Editing by Chris Reese) ((Stephen.Nellis@thomsonreuters.com; (415) 344-4934;)) The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Sept 22 (Reuters) - Intel Corp INTC.O Chief Executive Pat Gelsinger on Thursday plans to attend a virtual White House meeting on the global chip shortage, a person familiar with the matter told Reuters. Commerce Secretary Gina M. Raimondo set the meeting earlier this month to discuss the impact the Delta variant has had on global chip supplies and better coordinate between producers of chips and buyers of chips such as automakers to avoid future shortages. (Reporting by Stephen Nellis in San Francisco Editing by Chris Reese) ((Stephen.Nellis@thomsonreuters.com; (415) 344-4934;)) The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.",2021,3
2021-09-22 00:00:00+00:00,"XLK, MA, INTC, AVGO: ETF Inflow Alert",INTC,https://www.nasdaq.com/articles/xlk-ma-intc-avgo%3A-etf-inflow-alert-2021-09-22,,,"Looking today at week-over-week shares outstanding changes among the universe of ETFs covered at ETF Channel, one standout is the The Technology Select Sector SPDR— Fund (Symbol: XLK) where we have detected an approximate $335.4 million dollar inflow -- that's a 0.8% increase week over week in outstanding units (from 288,160,000 to 290,360,000). Among the largest underlying components of XLK, in trading today Mastercard Inc (Symbol: MA) is up about 1.4%, Intel Corp (Symbol: INTC) is up about 1.1%, and Broadcom Inc (Symbol: AVGO) is up by about 1.4%. For a complete list of holdings, visit the XLK Holdings page » The chart below shows the one year price performance of XLK, versus its 200 day moving average:
Looking at the chart above, XLK's low point in its 52 week range is $109.49 per share, with $160.13 as the 52 week high point — that compares with a last trade of $153.96. Comparing the most recent share price to the 200 day moving average can also be a useful technical analysis technique -- learn more about the 200 day moving average ».
Free Report: Top 7%+ Dividends (paid monthly)
Exchange traded funds (ETFs) trade just like stocks, but instead of ''shares'' investors are actually buying and selling ''units''. These ''units'' can be traded back and forth just like stocks, but can also be created or destroyed to accommodate investor demand. Each week we monitor the week-over-week change in shares outstanding data, to keep a lookout for those ETFs experiencing notable inflows (many new units created) or outflows (many old units destroyed). Creation of new units will mean the underlying holdings of the ETF need to be purchased, while destruction of units involves selling underlying holdings, so large flows can also impact the individual components held within ETFs.
Click here to find out which 9 other ETFs had notable inflows »
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Among the largest underlying components of XLK, in trading today Mastercard Inc (Symbol: MA) is up about 1.4%, Intel Corp (Symbol: INTC) is up about 1.1%, and Broadcom Inc (Symbol: AVGO) is up by about 1.4%. Looking today at week-over-week shares outstanding changes among the universe of ETFs covered at ETF Channel, one standout is the The Technology Select Sector SPDR— Fund (Symbol: XLK) where we have detected an approximate $335.4 million dollar inflow -- that's a 0.8% increase week over week in outstanding units (from 288,160,000 to 290,360,000). These ''units'' can be traded back and forth just like stocks, but can also be created or destroyed to accommodate investor demand.","Among the largest underlying components of XLK, in trading today Mastercard Inc (Symbol: MA) is up about 1.4%, Intel Corp (Symbol: INTC) is up about 1.1%, and Broadcom Inc (Symbol: AVGO) is up by about 1.4%. For a complete list of holdings, visit the XLK Holdings page » The chart below shows the one year price performance of XLK, versus its 200 day moving average: Looking at the chart above, XLK's low point in its 52 week range is $109.49 per share, with $160.13 as the 52 week high point — that compares with a last trade of $153.96. Free Report: Top 7%+ Dividends (paid monthly) Exchange traded funds (ETFs) trade just like stocks, but instead of ''shares'' investors are actually buying and selling ''units''.","Among the largest underlying components of XLK, in trading today Mastercard Inc (Symbol: MA) is up about 1.4%, Intel Corp (Symbol: INTC) is up about 1.1%, and Broadcom Inc (Symbol: AVGO) is up by about 1.4%. Looking today at week-over-week shares outstanding changes among the universe of ETFs covered at ETF Channel, one standout is the The Technology Select Sector SPDR— Fund (Symbol: XLK) where we have detected an approximate $335.4 million dollar inflow -- that's a 0.8% increase week over week in outstanding units (from 288,160,000 to 290,360,000). For a complete list of holdings, visit the XLK Holdings page » The chart below shows the one year price performance of XLK, versus its 200 day moving average: Looking at the chart above, XLK's low point in its 52 week range is $109.49 per share, with $160.13 as the 52 week high point — that compares with a last trade of $153.96.","Among the largest underlying components of XLK, in trading today Mastercard Inc (Symbol: MA) is up about 1.4%, Intel Corp (Symbol: INTC) is up about 1.1%, and Broadcom Inc (Symbol: AVGO) is up by about 1.4%. Looking today at week-over-week shares outstanding changes among the universe of ETFs covered at ETF Channel, one standout is the The Technology Select Sector SPDR— Fund (Symbol: XLK) where we have detected an approximate $335.4 million dollar inflow -- that's a 0.8% increase week over week in outstanding units (from 288,160,000 to 290,360,000). For a complete list of holdings, visit the XLK Holdings page » The chart below shows the one year price performance of XLK, versus its 200 day moving average: Looking at the chart above, XLK's low point in its 52 week range is $109.49 per share, with $160.13 as the 52 week high point — that compares with a last trade of $153.96.",2021,3
2021-09-21 00:00:00+00:00,Epic Won a Small Battle With Apple. Which Tech Giant Will Come Under Fire Next?,INTC,https://www.nasdaq.com/articles/epic-won-a-small-battle-with-apple.-which-tech-giant-will-come-under-fire-next-2021-09-21,,,"Apple (NASDAQ: AAPL) recently scored a court victory against Epic Games, which sued the tech giant over its App Store. Epic did get one small win, though, and Epic's battle against big tech isn't over. Other companies could have to make changes as a result of the ruling. In this Motley Fool Live ""The 5"" segment recorded on Sept. 15, Motley Fool contributors Jason Hall, Toby Bordelon, and Nicholas Rossolillo discuss which tech giants could come under fire next.
10 stocks we like better than Apple
When our award-winning analyst team has a stock tip, it can pay to listen. After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor, has tripled the market.*
They just revealed what they believe are the ten best stocks for investors to buy right now... and Apple wasn't one of them! That's right -- they think these 10 stocks are even better buys.
See the 10 stocks
*Stock Advisor returns as of September 17, 2021
Jason Hall: Toby, I know you've been dying to talk about this, Apple versus Epic. We got the ruling. Was it Thursday or Friday last week that are dropped? Anyway, you couldn't talk about it because we're talking about other stuff for three days.
Toby Bordelon: Yeah, it was Friday. It's actually Friday after market close. I think it was after market close. I'm ready for the weekend and boom, we get this decision dropped on us, which is pretty substantial. We got a decision in the Apple-Epic lawsuit. Now, remember, Epic sued Apple for various antitrust violations for anti-competitive practices related to the App Store, specifically Fortnite. They had disputes over the payment mechanisms for in-app purchases at Fortnite that led to Fortnite being ejected from the App Store, totally kicked off the iOS platform. Epic ended up suing. There were a lot of issues raised in this case, a lot of interesting issues. We don't have time to go into all the details now, but functionally, what happened for the most part is Apple won. Epic made 10 claims and Apple basically won on nine counts, 9 out of 10. The biggest one I think was that the judge explicitly said Apple is not a monopoly in the mobile gaming space. That was a nice ruling for Apple. But the point that Epic did win on, which is interesting and actually, when you think of the implications seems relatively minor, but there's going to be a change because of this. What Apple had done is they had told the developers, ""You can't tell your customers about other options to pay for your goods and services outside of the ad."" For instance, think about a company like Netflix (NASDAQ: NFLX). I think actually Netflix is a separate deal. But in theory, according to those rules, Netflix would not be able to say, ""Go to our website and sign up, and then just watch on the app.""
Hall: Without explicit permission from Apple to do so.
Bordelon: Yeah, exactly. The judge basically said, ""You can't do that."" You can't stop developers from saying that. You can't even stop them from linking out to the alternative payment mechanism. But also the judge said Apple's not actually required to allow developers to put a separate in-app payment mechanism and they can still require developers to use their own in-app payment system. The way things look, I understand, Apple can say, ""You must use our system for in-app payments, but you are of course allowed to tell people they can go outside the app to pay for stuff, if they want to."" Clearly, that's the change Apple has to make. They had to allow that to happen. But if you're a user, you've got your iPhone, you click on your app, you said, ""Oh, you can either click on this button to buy now through Apple system or you can go out to this other website and process the payment,"" I mean, it's real easy.
Hall: There's only two ways to do this. Either you create some kind of financial incentive for the customer and on these micro-transactions, is it big enough to soak up that 15 or 30 percent? It's should go to Apple anyway.
Bordelon: You have to counteract the laziness.
Hall: Right. Or you create a bad customer experience by forcing them to do it. Those are your only two choices and it's not ideal.
Bordelon: Right. I'm not sure how big of a blow to Apple's bottom line this is really going to be. If it holds up, Epic is going to appeal.
Hall: Oh, it's not done. That's the thing.
Bordelon: Yeah. Epic is going to appeal. This could go on for a way. But with that as a background, given where we are now, Apple is going to have to make a tweak of some sort to the App Store. Here's the question, guys. What's the next big tech company not named Apple that's going to have to make changes to their products or services because of an antitrust lawsuit or changes in the law? Think about Congress might come in and do something because they don't like what the courts are doing. What big company you think is going to have to make changes because of antitrust issues or related legal requirements that may be coming down the pipe? What do you think, Nick?
Nicholas Rossolillo: I think [Alphabet's (NASDAQ: GOOGL)(NASDAQ: GOOG)] Google absolutely is the next one. Interestingly, I think this gets overlooked. Epic filed a lawsuit against Google as well, against the Google Play store. Their angle was a little bit different, basically, where they were accusing Apple of that 30 percent take that Apple gets every time someone makes a purchase on the store or an in-app purchase, they weren't really going that route with Google. They were accusing Google basically of trying to prevent the Epic Store from getting on Android devices. A different angle, but still a potential issue where it appears that Google was trying to use its duopoly with Apple in controlling the world's smartphone market and mobile market to keep a potential competitor off of its platform. One of the accusations Epic even made was that Google at one point attempted a hostile takeover in order to keep the Epic Store at bay. That's still a pending lawsuit, that's going to work through the courts, but I think that's the most obvious business that is going to have to make some adjustments next, after Apple does.
Hall: I'll hop in here next. From what I've seen, I've been reading and paying attention a little bit more to this with Nvidia's (NASDAQ: NVDA) bid to acquire ARM. It seemed like initially when it was first announced, it's like, ""Whoa, that's a big deal. Is it going to happen?"" Then it was like, ""Yeah, OK. This is going to happen."" Now, more recently, I think there is substantial risk to UK regulators because ARM Holdings is a UK-based company and it's not just domicile there. That's where a large percentage of its staff is, it's truly headquartered in the UK. It could get blown up. UK regulators could stop it. I mean, this might not even necessarily end up in the court. The regulators could disapprove it and keep it from happening. Now, with that said, I think that as an Nvidia investor and Nvidia shareholder, yeah, it's a big win to own ARM, to bring that in, and that could really supercharge a company started growing at a very high rate. But Nvidia doesn't need to own ARM to continue to be a big winner. It's incredibly innovative, the things that they are involved in are really powerful. They don't need to add that ARM architecture, and the importance that ARM architecture has to so many other companies that do all of their own design work for semiconductors, they don't have to have that to continue to be a big winner. I think there's a lot more say for ARM investors remaining a separate company. I think somebody maybe in The Wall Street Journal that said, if not Nvidia then who? It's almost inevitable that ARM becomes part of a larger company. But as an Nvidia shareholder, I'm not particularly concerned that this deal looks like it very well. I think at this point it's maybe 50/50. Toby.
Bordelon: Yeah. I'd even go further than that, Jason. If I had to guess right now, my gut says this deal doesn't happen.
Hall: Yeah. If you're investing manager, you have to invest with that assumption.
Bordelon: Yeah, I'm leaning toward, and you have an issue too, is China taking a look at this, and it seems from what I can tell Nvidia didn't bother to file the paperwork for trying to review until just recently, and now they're listing ""We have to get this done by the next year."" China's not going to be rushed. But if anything, they're going to use to make an example, if you think we are last in line and you're going to push us off like everyone else well, we're just going to make you wait eight, nine months before we begin to open up your file. That's an issue. I could see ARM is independent for some time. I could see SoftBank (OTC: SFTBF) just spinning them off as a separate publicly traded company potentially. But I don't know how sustainable that is, long term. To your question, if not Nvidia then who? I'm not sure I have an answer. I can't think of anyone that doesn't have issues. I can't think of an obvious buyer that wouldn't have any trust issues.
Hall: If you're not going to let Nvidia, you're not going to let Intel (NASDAQ: INTC).
Bordelon: There's no way.
Hall: No way.
Rossolillo: I know Qualcomm (NASDAQ: QCOM) said they promise to invest in ARM if it was spun-off as an independent company.
Hall: That's true.
Bordelon: Yes. You can see that. You can see maybe Qualcomm, if not buying and taking a minority stake, which could make some sense on that. But yes, issuing, and I also agree with you, Nick, on the Google thing and I think that lawsuit almost looks like it could come down a lot harder on Alphabet than Apple's ended for them. There are some issues there that are very interesting so we'll have to see how that plays out. I'm afraid I want a different one too. I'm just going to throw out Facebook (NASDAQ: FB) here. A couple of weeks ago, they got sued again by the FTC trying to force a sale of Instagram and WhatsApp. They had done it before, and this case was dismissed and now they're back trying a different angle. I'm skeptical at this point that a breakup will be the net result of this. But I do think something's going to happen with them. I think it's inevitable that either, of course, Congress are going to impose some restrictions. You could see things like restrictions on daily use between divisions saying, ""Well, you don't have to break it off, but you're limited on what you can do between sharing info between Facebook and Instagram and WhatsApp, potentially."" Maybe more privacy protections, maybe some rules on how they enforce their terms of service because that's come out recently about is it done equally across all people or do they have rules that actually don't necessarily apply to some people and what does that mean? Facebook's in a bad place. I think they've irritated a lot of people and a lot of different regulators and Congress have taken a look. I feel like something is probably going to happen but I don't know that it'll be an actual breakup of the company, but definitely a field to watch. There is a lot of action here right now. Politically, I think a lot of people in Congress can get some traction by saying, ""I'm protecting my constituents from the big, bad tech companies."" That's something to watch.
Hall: Well, in fairness, I think what's happening with ARM, UK regulatory bodies are looking at a UK-based company with UK-based employees being acquired by a foreign company. What happens to those jobs? What happens to that intellectual property and assets [laughs] that was built and created there.
Bordelon: We do that all the time here in United States.
Hall: Oh yeah, of course we do.
Bordelon: Through national security layers over antitrust review all the time.
Suzanne Frey, an executive at Alphabet, is a member of The Motley Fool's board of directors. Randi Zuckerberg, a former director of market development and spokeswoman for Facebook and sister to its CEO, Mark Zuckerberg, is a member of The Motley Fool's board of directors. Jason Hall owns shares of Alphabet (C shares) and Nvidia. Nicholas Rossolillo and his clients own shares of Alphabet (C shares), Apple, Facebook, and Nvidia. Toby Bordelon owns shares of Alphabet (A shares), Apple, and Netflix. The Motley Fool owns shares of and recommends Alphabet (A shares), Alphabet (C shares), Apple, Facebook, Netflix, Nvidia, and Qualcomm. The Motley Fool recommends Intel and Softbank Group and recommends the following options: long January 2023 $57.50 calls on Intel, long March 2023 $120 calls on Apple, short January 2023 $57.50 puts on Intel, and short March 2023 $130 calls on Apple. The Motley Fool has a disclosure policy.
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.","Hall: If you're not going to let Nvidia, you're not going to let Intel (NASDAQ: INTC). Apple (NASDAQ: AAPL) recently scored a court victory against Epic Games, which sued the tech giant over its App Store. Now, remember, Epic sued Apple for various antitrust violations for anti-competitive practices related to the App Store, specifically Fortnite.","Hall: If you're not going to let Nvidia, you're not going to let Intel (NASDAQ: INTC). In this Motley Fool Live ""The 5"" segment recorded on Sept. 15, Motley Fool contributors Jason Hall, Toby Bordelon, and Nicholas Rossolillo discuss which tech giants could come under fire next. The Motley Fool owns shares of and recommends Alphabet (A shares), Alphabet (C shares), Apple, Facebook, Netflix, Nvidia, and Qualcomm.","Hall: If you're not going to let Nvidia, you're not going to let Intel (NASDAQ: INTC). Their angle was a little bit different, basically, where they were accusing Apple of that 30 percent take that Apple gets every time someone makes a purchase on the store or an in-app purchase, they weren't really going that route with Google. They don't need to add that ARM architecture, and the importance that ARM architecture has to so many other companies that do all of their own design work for semiconductors, they don't have to have that to continue to be a big winner.","Hall: If you're not going to let Nvidia, you're not going to let Intel (NASDAQ: INTC). In this Motley Fool Live ""The 5"" segment recorded on Sept. 15, Motley Fool contributors Jason Hall, Toby Bordelon, and Nicholas Rossolillo discuss which tech giants could come under fire next. It's should go to Apple anyway.",2021,3
